BoMAll,BoMAllNoAZ,TeoOnly,TeoOnlyNoAZ
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,495,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,620,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,650,NA,NA
185,675,NA,NA
185,675,NA,NA
185,675,NA,NA
185,675,NA,NA
185,675,NA,NA
185,675,NA,NA
185,675,NA,NA
185,675,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,700,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,770,NA,NA
185,800,NA,NA
185,1070,NA,NA
185,1075,NA,NA
185,1075,NA,NA
185,1075,NA,NA
185,1075,NA,NA
185,1075,NA,NA
185,1100,NA,NA
185,1100,NA,NA
185,1100,NA,NA
185,1100,NA,NA
185,1100,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1170,NA,NA
185,1320,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1570,NA,NA
185,1775,NA,NA
185,1820,NA,NA
185,1820,NA,NA
185,1820,NA,NA
185,1820,NA,NA
185,1820,NA,NA
185,1820,NA,NA
185,2270,NA,NA
185,2270,NA,NA
185,2270,NA,NA
185,2270,NA,NA
185,2270,NA,NA
185,2270,NA,NA
185,2270,NA,NA
185,2270,NA,NA
185,2390,NA,NA
185,2890,NA,NA
185,2890,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
