"site","begin","end"
"Payupki","1675","1775"
"Lululongturqi","1075","1300"
"Abangkuyivi","1150","1275"
"Sikyatki","1375","1450"
"Pink Arrow","1325","1450"
"Kokopnyama","1300","1375"
"Tom's Rock","1050","1300"
"Goesling","1050","1300"
"Hubble Corner","1100","1300"
"Cluff Ranch","950","1450"
"Murphy Site--Safford East","1200","1450"
"Rincon Canyon","1200","1450"
"Spear Ranch","1275","1325"
"Owens-Colvin","1150","1450"
"Goat Hill","1275","1325"
"Fischer site","1275","1450"
"Whitmer","1350","1450"
"Yuma Wash Site","1200","1450"
"Marijilda Ruin","1300","1350"
"Emigrant Springs","1250","1300"
"Isham","1250","1300"
"Taylor Springs","1250","1300"
"Rocky Point","1050","1225"
"Wide Ruins","1275","1300"
"Black Mountain Pueblo","1300","1400"
"Sanrace Cliff Dwelling","1300","1400"
"Schoolhouse Point Mound","1275","1450"
"AZ V:1:130","1325","1450"
"Cooper Forks Cliff Dwelling","1200","1400"
"Cock's Comb Ridge","1325","1400"
"Knife Ridge Site","1200","1450"
"Pottery Point Ruin","1275","1400"
"AZ V:1:167","1300","1450"
"Upper Coon Creek","1200","1325"
"AZ C:1:37","1200","1400"
"AZ V:1:185","1025","1275"
"AZ V:1:195","1100","1275"
"Granite Basin","1275","1400"
"Canyon Creek","1325","1400"
"Blue House Mountain","1325","1400"
"Spotted Mountain Pueblo","1325","1400"
"Canyon Butte Pueblo","1325","1400"
"Ruins Tank","1325","1400"
"AZ V:2:83","1325","1400"
"Carrizo Ruin","1325","1400"
"Roundy Ruin","1050","1275"
"Shumway Ruin","1275","1400"
"Fourmile Ruin","1275","1450"
"Bailey Ruin","1275","1325"
"NA 4566","1050","1325"
"NA 4580","1200","1300"
"Pottery Hill--Silver Creek","1050","1300"
"Pinedale Ruin","1275","1325"
"Grasshopper","1275","1400"
"Brush Mountain","1300","1400"
"Red Rock House","1325","1400"
"Oak Creek Pueblo","1325","1375"
"Red Canyon Pueblo","1325","1400"
"Blue Springs Ruin","1300","1400"
"Cibecue Creek Ruin","1325","1400"
"Tundastusa","1225","1350"
"Ormand Village","1325","1450"
"Villareal II","1000","1450"
"Dutch Ruin","800","1450"
"Spier 175","1275","1450"
"Rattlesnake Point","1275","1450"
"Sherwood Ranch","1050","1325"
"AZ Q:11:42","1100","1400"
"AZ Q:11:44","875","1175"
"Baca Pueblo","1275","1450"
"Table Rock Pueblo","1275","1450"
"Bean Patch","1100","1300"
"Garcia Ranch","1175","1325"
"Carter Ranch Pueblo","1100","1275"
"Broken K Pueblo","1100","1300"
"Hardscrabble Ruin","1100","1300"
"Puerco Ruin","1275","1400"
"Wallace Tank Ruin","1250","1400"
"Seven Springs","1100","1300"
"AZ Q:7:7","1275","1450"
"Malpais Spring","1050","1300"
"Chezhinchotah","1050","1225"
"Bidahochi","1300","1400"
"Homol'ovi IV","1250","1300"
"Homol'ovi III","1250","1400"
"Homol'ovi II","1300","1450"
"Cottonwood Creek","1250","1450"
"Homol'ovi I","1300","1450"
"Scribe S","1200","1300"
"Upper Nutria","1200","1675"
"Lower Deracho","1200","1300"
"Day Ranch","1200","1300"
"Halona:wa South","1200","1900"
"Atsinna","1200","1400"
"Cienega","1250","1425"
"Mirabal","1200","1300"
"Tinaja","1200","1300"
"North Atsinna","1200","1400"
"Kyaki:ma","1275","1625"
"Yellowhouse","1200","1300"
"Village of the Great Kivas","1050","1200"
"Kwa'kin'a","1275","1675"
"Big House","1250","1300"
"Naat'a'anii Bikin","1250","1300"
"Lookout Site","1200","1300"
"Pueblo de los Muertos","1200","1400"
"Heshotauthla","1275","1400"
"Jack's Lake","1200","1300"
"Box S","1200","1300"
"Upper Pescado","1200","1400"
"LA 15560","1025","1275"
"Fenced Up Horse Canyon","1100","1300"
"Pescado West","1200","1450"
"Lower Pescado Ruin","1200","1450"
"LA 47563","1250","1300"
"Los Gigantes","1200","1300"
"Spier 81","1200","1300"
"Vogt Ranch","1200","1300"
"LA 109857","1200","1300"
"Brooklyn Basin","1325","1375"
"LA 109993","1200","1300"
"Binna:wa","1275","1450"
"Richinbar Site (B)","1300","1450"
"Pueblo Pato","1300","1450"
"Rattlesnake House I & II","1300","1450"
"Pueblo La Plata","1300","1400"
"Squaw Creek Ruin","1325","1375"
"Baby Canyon Site","1200","1450"
"Badger Springs Site","1325","1450"
"NA 13317","1300","1450"
"Alkali Canyon Ruin","825","1225"
"Citadel/Nalakihu","1050","1250"
"Wupatki","1100","1225"
"Crack-in-Rock","1150","1225"
"Many Farms","1050","1300"
"Lukachukai GH","875","1225"
"Antelope House","875","1250"
"Three Turkey House","1175","1275"
"White House","850","1300"
"Salina Springs","1050","1300"
"Boss Ranch","1275","1450"
"Slaughter Ranch","1350","1450"
"Old Caves","1125","1300"
"Elden Pueblo","1100","1250"
"Burned Pueblo","1150","1425"
"Turkey Hill Pueblo","1100","1300"
"Ridge Ruin","1025","1250"
"Tachini Point","1100","1300"
"Long House","1250","1300"
"Inscription House","1200","1300"
"Whirling Spring","1200","1300"
"Tower House","1250","1300"
"Swallow's Nest","1225","1300"
"Betatakin","1225","1300"
"Kiet Siel","1250","1300"
"Batwoman House","1100","1300"
"Twin Caves Pueblo","1250","1300"
"Nagashi Bikin","825","1300"
"Hawk's Nest","875","1275"
"Yellow House","1200","1300"
"Red House","1150","1300"
"Scaffold House","1225","1300"
"Moqui Rock Pueblo","1100","1300"
"NA 4157","1075","1300"
"NA 4158","1025","1225"
"Kinlani","1200","1300"
"Olla House","875","1275"
"Double Wall Ruin","1150","1300"
"NA 5628","1225","1300"
"NA 5651","1150","1300"
"NA 5654","1225","1300"
"Hummingbird House","1150","1300"
"NA 8816","1100","1300"
"NA 8820","1200","1300"
"NA 8839","1100","1300"
"NA 8886","1050","1300"
"NA 8895","1100","1300"
"Fireside","1150","1300"
"Otherside","1250","1300"
"Organ Rock","1125","1300"
"Pueblo Grande","950","1450"
"Red Creek Ruin","1200","1400"
"Ister Pueblo","1000","1375"
"Warm Springs Ruin","825","1625"
"Alkali Seep Ruin","1200","1375"
"Pete's Cabin Ruin","1200","1375"
"51 Ranch Site","1325","1375"
"Verde 13:3","1325","1375"
"Dry Creek Ruin","750","1375"
"Polles Pueblo","1300","1450"
"Mindeleff's Cavate Lodges","1300","1400"
"Mud Springs Ruin","1325","1375"
"Lookout Ruin","1200","1450"
"Doran Castle Ruin","1000","1300"
"Verde Hot Springs Ruin","1325","1450"
"NA 10019","1325","1375"
"NA 10020","1350","1450"
"NA 10065","1325","1450"
"NA 10067","1300","1450"
"NA 10070","1325","1450"
"NA 12557","1300","1400"
"Big Rosalie","1200","1400"
"Salome Ruin","1075","1400"
"Burnt Corn GH","1000","1300"
"Dog Town","1200","1300"
"Lamb Springs","1075","1300"
"Porcupine Wash","1200","1300"
"Pinon Ruin","1200","1300"
"NA 5585","1100","1300"
"Thief Site","1200","1300"
"Kin Klethla","1200","1300"
"AZ E:6:1","1050","1300"
"Ford House","1025","1325"
"Chavez Pass Pueblo","1250","1350"
"Bridgeport Site","1150","1375"
"Cornville Ruin","1300","1400"
"Sugarloaf Site","1250","1400"
"Montezuma Well (E.Rim)","1150","1375"
"Jackson Ranch Ruin","1100","1375"
"Montezuma Castle A & B","1100","1400"
"Kinnikinnick","1250","1400"
"Grapevine Pueblo","1250","1450"
"Clear Creek Ruin","1200","1400"
"Honanki","1150","1225"
"Talbot Ranch Site","1200","1375"
"Calloway No.2 Ruin","1100","1250"
"CV Hill Ruin","1000","1375"
"Pollack Ruin","1075","1250"
"Limestone / Iron Rock","1300","1375"
"Piglet","1100","1250"
"Castle Rock Pueblo","1175","1275"
"Zanardelli Site","950","1350"
"Gibbon  Springs","1200","1300"
"Spier 228","1300","1400"
"Hatalacva","1250","1300"
"Perkinsville Ruin","1275","1375"
"Fitzmaurice Ruin","1050","1300"
"Cline Terrace Mound, Monster Ruin","1275","1300"
"St. Mary's","800","1150"
"Los Guanacos","1350","1450"
"Grand Canal","1150","1450"
"Cherry Creek Mound","1050","1400"
"University Indian Ruins","1150","1450"
"Pueblo Blanco","750","1450"
"Sunset Mesa","950","1150"
"Tres Pueblos","1275","1450"
"Pueblo Salado","1325","1450"
"White Rincon","1150","1300"
"Jackrabbit","1150","1350"
"Casa Grande","1200","1450"
"La Ciudad","700","1075"
"Gatlin Site","900","1150"
"Las Colinas","950","1450"
"Mesa Grande","1200","1450"
"Los Hornos","700","1000"
"Pueblo del Monte","1300","1450"
"Whiptail Ruin","1150","1350"
"Tanque Verde Village","1150","1350"
"Los Robles Mound","950","1350"
"Brady Wash","850","1450"
"Mendoza Canyon","1150","1300"
"Escalante","1200","1450"
"Los Muertos","1325","1450"
"Hodges Ruin","800","1150"
"Romero Ruin","700","1150"
"Los Morteros","900","1350"
"Hay Hook Ranch","1150","1350"
"Casa Buena","850","1450"
"Las Canopas","700","1275"
"Kuykendall","1350","1450"
"Kimble Ranch/Glass Ranch","1325","1450"
"P Ranch Canyon site","950","1125"
"Curtis Ruin(Buena Vista)","1275","1450"
"Methodist Church","1000","1325"
"AZ CC:1:3","1275","1450"
"AZ CC:2:33(BLM)","1275","1450"
"Fort Grant Pueblo","1275","1450"
"Gu Achi","850","1150"
"Mercer Ruin","1300","1450"
"Drip","700","1125"
"Morris 41","1000","1275"
"Lower Pescado Village","1275","1450"
"Cerro Prieto--Quemado","900","1300"
"Twin Towers","975","1250"
"North Mesa","1050","1250"
"Juniper Terrace","1050","1225"
"Cosnino Caves","1150","1225"
"Two Kivas","1100","1300"
"Atsee Nitsaa","1025","1300"
"Tuzigoot","1100","1425"
"Cox Ranch","1050","1200"
"Largo Gap","1050","1175"
"Dennis Ruin","1075","1400"
"Roosevelt 9:13","1050","1275"
"Crismon","950","1450"
"Crescent Site","1275","1450"
"Rattlesnake Mesa","1275","1450"
"Stone Axe Ruin","1250","1450"
"Mats'a:kya Ruin","1375","1675"
"AZ W:10:51","1300","1350"
"AZ W:10:48","1325","1400"
"Webb Ruin","1350","1450"
"Carmen Community","1125","1350"
"Germann Site","1200","1450"
"Casas Pequenas","750","1125"
"Las Fosas","1325","1450"
"Junkyard Site","950","1450"
"Fort Grant Silo Site","1200","1450"
"Earven Flat Site","1000","1300"
"Richardson Orchard","975","1400"
"AZ CC:2:23(BLM)","1275","1425"
"AZ CC:2:185","1275","1450"
"Wes Jernigan Site","1150","1450"
"Krider Kiva Site","1325","1450"
"Murphy Site--Safford West","950","1300"
"Crary Site","900","1450"
"AZ CC:1:55","1000","1100"
"Dewester Site","950","1450"
"Lippencott South Site","950","1400"
"Lippincott North Site","1000","1450"
"Pentagon Site","950","1200"
"Wooten-Claridge Terrace Site","800","1450"
"AZ BB:3:22","1275","1450"
"Sharon Site","1150","1450"
"Danson 481","1050","1300"
"Rabid Ruin","1150","1350"
"San Xavier Bridge","1000","1350"
"Continental Site","1150","1325"
"Cerro Prieto--Santa Cruz","1150","1350"
"El Polvoron","1275","1450"
"Tsintaa Yitilii","1000","1150"
"Bear Springs S","1200","1400"
"Kisak'ovi","1375","1900"
"Apollo Mesa","1100","1225"
"Plaza Site","1100","1250"
"Dancing Rock GH","875","1200"
"Stone House Flat No.1","1050","1400"
"Omawovi","1050","1300"
"Qaotaqtipu","1050","1300"
"Boquillas","700","1150"
"LA 76368","1200","1300"
"LA 5596","1025","1125"
"LA 7085","1000","1275"
"LA 7791","1050","1275"
"LA 85115","1175","1275"
"LA 8532","1200","1300"
"Sterling ","925","1250"
"Tsukovi","1375","1450"
"Yuma Wash--Tucson","1150","1350"
"Cactus Forest","1350","1450"
"Black Axe","1250","1400"
"CARP 165","1200","1300"
"CARP 166","1200","1300"
"CARP 195","1200","1300"
"LZ0501","1200","1300"
"LZ0512","1100","1300"
"LZ0545","1050","1300"
"LZ0560","1050","1300"
"LZ0561","1100","1300"
"LZ0563","1100","1300"
"LZ0567","1050","1300"
"LZ0568","1050","1300"
"LZ0582","1200","1300"
"LZ0583","1100","1300"
"LZ0719","1050","1300"
"LZ0741","1050","1300"
"LZ0742","1100","1300"
"LZ0754","1200","1300"
"LZ0778","1200","1300"
"LZ0796","1200","1300"
"LZ0797","1200","1300"
"LZ0808","1050","1300"
"LZ0812","1200","1300"
"LZ0853","1200","1300"
"LZ1232","1200","1300"
"LZ1234","1200","1300"
"LZ1245","1200","1300"
"LZ1301","1200","1300"
"LZ1302","1200","1300"
"LZ1305","1050","1300"
"South Ruin","1200","1300"
"LZ1307","1200","1300"
"LZ1310","1200","1300"
"LZ1036-1","1050","1300"
"LZ1103","1050","1300"
"LA 47508","1100","1300"
"LA 47515","1200","1300"
"LA 47561","1100","1300"
"LA 47562","1100","1300"
"LA 2347","1250","1300"
"LA 47564","1250","1300"
"LA 47565","1100","1300"
"LA 47581","1250","1300"
"LA 47591","1050","1300"
"FSOP13","1200","1300"
"FSOP15","1200","1300"
"Dog Head Pueblo","1200","1300"
"LA 15605","1200","1300"
"LA 15623","1050","1300"
"LA 15667","1200","1300"
"LA 15669","1050","1300"
"LA 15671","1050","1300"
"LA 15673","1050","1300"
"AZ Q:4:58 (ASM)","1200","1300"
"NA 9025","1100","1250"
"NA 9041","1100","1250"
"NA 9029","1100","1250"
"NA 9050","1100","1275"
"NA 9046","1050","1250"
"NA 9411","1050","1175"
"Forestdale Pueblo","1150","1275"
"Surprise Pueblo","1050","1300"
"AZ K-10-13","1100","1300"
"Garden Canyon","700","1450"
"Rillito Fan","1050","1450"
"LA 82683","1100","1300"
"LA 82762","1200","1300"
"LA 85954","1050","1300"
"LA 85796","1050","1300"
"LA 85989","1200","1300"
"LA 86013","1200","1300"
"LA 86027","1200","1300"
"LA 86037","1050","1300"
"LA 86054","1200","1300"
"Black Mountain","1200","1450"
"Spur Cross Ranch","1300","1350"
"Veres","850","1350"
"LA 82726","1050","1300"
"LA 82740","1050","1300"
"LA 82741","1100","1300"
"LA 82693","1100","1300"
"LA 82743","1100","1300"
"LA 82747","1050","1300"
"LA 82748","1050","1300"
"LA 82763","1100","1300"
"LA 85977","1100","1300"
"LA 86042","1200","1300"
"CS 81","1200","1300"
"Chodistaas","1275","1325"
"Big Neely","1050","1200"
"Veteado Pueblo","1100","1300"
"FSOP02 Great Kiva","1200","1300"
"Kipp Ruin","800","1450"
"Pinnacle Ruin","1250","1300"
"Fornholt","900","1300"
"Janss","1100","1450"
"Stailey","1125","1400"
"Disert","1200","1450"
"Gamalstad","750","1450"
"Casa Mosca","1175","1300"
"Dittert Ranch","1050","1300"
"LA 102391","1000","1200"
"LA 11670","1050","1300"
"Las Ventanas","1025","1300"
"5 Acre Ruin","1050","1250"
"Albert Porter","975","1250"
"Allentown","600","1300"
"Andrews","850","1150"
"Ansell Hall","975","1175"
"Arch Canyon","800","975"
"AZ P:11:124 (ASU)","1050","1300"
"AZ P:11:130 (ASU)","1075","1200"
"AZ P:11:55 (ASU)","1050","1300"
"AZ P:11:57 (ASU)","1000","1175"
"AZ P:12:105 (ASU)","1000","1300"
"AZ P:12:404 (ASM)","825","1100"
"AZ P:12:76 (ASU)","1050","1175"
"AZ P:12:99 (ASU)","1050","1300"
"AZ P:16:160 (ASM)","1050","1200"
"AZ Q:3:64 (ASM)","550","1175"
"Bad Dog Ridge","1050","1150"
"Badger House","800","925"
"Bancos Village","800","1050"
"Bee Burrow","1000","1150"
"Beth's Great Kiva","825","1150"
"Bis'saani East","1050","1175"
"Bis'saani West","1050","1175"
"Black Creek Flat","900","1150"
"Black Mesa Ruin","800","1175"
"Blackrock Gaddy","1050","1300"
"Blue J","1050","1150"
"Blue Mesa","700","875"
"Bluewater Spring","1050","1150"
"Bluff Great House","875","1250"
"Bluff Bench Great Kiva","800","925"
"Carhart Ruin","975","1250"
"Carol's Ruin","800","1050"
"Casa Abajo","875","1150"
"Casa Cielo","1000","1150"
"Casa del Rio","850","1125"
"Casa Escondida","1000","1175"
"Casa Estrella","1000","1150"
"Casa Negra","875","1250"
"Casa Patricio","550","1150"
"Casa Rinconada","1075","1150"
"Casamero","1050","1150"
"Cerro Pomo","1050","1175"
"Chaco East","1050","1150"
"Chacra Mesa Great Kiva","1050","1150"
"Chambers Great House","1000","1150"
"Chetro Ketl","1050","1175"
"Chimney Rock","975","1175"
"Church Rock","1000","1100"
"Cline Point","1000","1150"
"Coalbed Village","975","1275"
"Coolidge","875","1150"
"Cothruns","1025","1150"
"Cottonwood Falls","800","1250"
"Coyotes Sing Here","875","1150"
"CS219","1075","1150"
"CS689","1050","1250"
"Cuatro Payasos","875","1150"
"Dalton Pass","850","1150"
"Danson 202","1050","1200"
"Deer Springs","1000","1175"
"Dzil Nda Kai","875","1150"
"Edge of the Cedars","800","1175"
"El Malpais","1000","1275"
"El Rito","1050","1150"
"Escalon A","1000","1150"
"Escalon B","1000","1150"
"Et Al Site","1050","1175"
"Fajada Gap Great Kiva","875","1150"
"Figueredo","1050","1175"
"Fort Defiance--Thunder Ridge","1050","1250"
"Fortified Spur","800","1025"
"Ganado","1050","1150"
"Garcia Ranch Bench","600","1025"
"Goodman Point","875","1175"
"Grass Mesa","750","975"
"Greasewood Flat","925","1250"
"Greasy Hill","1050","1150"
"Great Bend House A","850","925"
"Great Bend House B","875","1150"
"Great Bend West","875","1125"
"Greenlee","1050","1150"
"Grey Hill Spring","1050","1150"
"Grey Ridge","1050","1150"
"Guadalupe","1200","1325"
"H Spear","550","1200"
"Halfway House","1050","1250"
"Hammond Canyon","800","1275"
"Hampton","975","1275"
"Hartman Draw","800","1175"
"Haynie Ruin","875","1175"
"Haystack","1050","1150"
"Hedley Ruin","975","1250"
"Hogback","850","1100"
"Houck","1025","1200"
"Hough's Great Kiva","1025","1250"
"House Creek","800","925"
"House of the Giant Midden","825","1000"
"Hurley Site","900","1150"
