"site","begin","end"
"LA 640","1150","1350"
"LA 676","1150","1350"
"LA 698","1150","1350"
"LA 701","1150","1350"
"LA 710","1150","1350"
"LA 728","1150","1350"
"LA 780","1150","1350"
"LA 820","1150","1350"
"LA 832","1150","1350"
"LA 856","1150","1350"
"LA 858","1150","1350"
"LA 148","1150","1350"
"AZ P:14:281","1325","1400"
"AZ V:2:62","1325","1400"
"AZ V:2:79","1325","1400"
"GFS 82-1","1300","1375"
"Verde 15:3 GP, Hickox 71 Ranch","1200","1350"
"AZ E:2:5","750","1300"
"NA 680","1050","1225"
"House of Tragedy Pueblo","1050","1225"
"Three Courts Pueblo","1050","1250"
"Lomaki","1075","1225"
"NA 1754","1075","1225"
"Wukoki","1050","1200"
"NA 11024","1075","1200"
"NA 11080","1000","1175"
"NA 11124","1050","1200"
"AZ K:40:12","1025","1200"
"Coal Mine Canyon Site","1200","1300"
"AZ K:40:19","1000","1100"
"AZ K:25:30","1050","1225"
"AZ K:25:29","1000","1100"
"AZ K:25:27","1075","1175"
"AZ K:25:26","1000","1175"
"AZ K:25:25","1150","1225"
"AZ K:25:24","1075","1175"
"AZ O:48:24","925","1050"
"AZ J:48:34","1025","1100"
"NA 31030","1000","1175"
"NA 31031","1050","1175"
"AZ D:9:19","550","950"
"AZ D:9:21","1150","1225"
"NA 31032","1000","1250"
"AZ D:9:23","1375","1450"
"AZ D:9:22","1075","1175"
"AZ D:9:24","850","1175"
"AZ D:9:25","600","950"
"AZ D:9:18","1200","1300"
"AZ D:9:26","550","1175"
"AZ D:9:16","600","1225"
"AZ D:9:15","700","1000"
"AZ D:9:14","825","950"
"AZ D:9:13","825","1000"
"AZ D:9:12","600","950"
"AZ D:9:17","1200","1300"
"NA 9505","1025","1225"
"AZ D:9:11","550","950"
"Painted Kiva Site","600","1175"
"NA 11058","550","950"
"AZ J:01:10","1075","1225"
"AZ D:9:10","1075","1250"
"AZ J:01:11","1075","1225"
"NA 11059","1025","1225"
"AZ J:01:16","1050","1175"
"AZ J:01:26","600","1100"
"AZ J:01:15","1075","1300"
"AZ J:01:24","600","1225"
"AZ D:9:9","1075","1175"
"AZ D:9:8","1075","1200"
"AZ J:01:23","550","850"
"NA 31087","850","1000"
"Three Dog Site","1250","1300"
"NA 31051","1200","1300"
"NA 31042","1050","1200"
"AZ J:31:2","1200","1300"
"AZ J:31:8","1150","1300"
"NA 31041","600","1175"
"Hanging Ash","1100","1300"
"NA 31040","600","1000"
"The Overkill Site","1000","1100"
"UT B:63:16","1075","1175"
"NA 31038","850","1100"
"UT B:63:21","1050","1225"
"UT B:63:20","1050","1300"
"UT B:63:19","1200","1300"
"NA 31037","600","1175"
"NA 31034","1325","1450"
"UT B:63:30","1200","1300"
"Hoof House","1075","1225"
"NA 31047","600","1000"
"NA 31043","600","1225"
"NA 31048","1075","1225"
"NA 31045","600","950"
"NA 31046","1150","1300"
"AZ J:9:6","1050","1175"
"NA 31033","1150","1225"
"AZ J:14:301","850","1375"
"AZ J:31:3","875","1100"
"Little Kiva Site","1075","1225"
"NA 30665","1200","1300"
"NA 30666","1125","1300"
"NA 11055","1075","1225"
"AZ J:19:12","1025","1250"
"Pivanhonkiopi","1200","1300"
"NA 14605","600","1100"
"AZ J:18:5","1150","1300"
"AZ J:14:046","1250","1300"
"AZ J:14:031","1050","1300"
"AZ J:19:6","1100","1250"
"AZ J:19:3","1050","1250"
"AZ J:14:029","1050","1450"
"AZ J:01:18","600","950"
"NA 14613","625","875"
"AZ J:19:9","1100","1250"
"NA 14612","550","950"
"Tsakeni","1150","1225"
"NA 14611","1150","1225"
"NA 14614","550","950"
"NA 14610","1150","1225"
"NA 11102","550","950"
"NA 14609","1375","1450"
"NA 14617","1050","1175"
"NA 14616","1075","1150"
"AZ J:14:069","1000","1425"
"AZ J:14:065","1100","1225"
"AZ J:14:064","1000","1175"
"AZ J:14:040","1100","1300"
"AZ J:14:068","825","1275"
"AZ J:14:097","825","1000"
"AZ J:14:062","825","1250"
"AZ J:14:075","1075","1300"
"NA 30503","550","950"
"NA 30504","550","925"
"AZ J:14:036","1050","1175"
"NA 30447","550","950"
"NA 30448","550","950"
"AZ J:14:177","1300","1450"
"AZ J:14:219","875","1325"
"NA 30466","600","1000"
"NA 30468","600","1000"
"NA 30465","550","1000"
"AZ J:14:283","1050","1400"
"NA 30263","600","850"
"AZ J:14:037","1100","1250"
"AZ J:14:262","1100","1400"
"NA 30262","1100","1300"
"Dawa Village","600","950"
"NA 30445","1200","1300"
"NA 30265","1200","1300"
"AZ J:14:211","1000","1200"
"NA 30471","550","950"
"NA 30470","600","1300"
"NA 11103","1250","1300"
"NA 30469","600","825"
"NA 14615","1050","1450"
"AZ J:14:090","825","1450"
"NA 30463","600","925"
"AZ J:14:071","1100","1250"
"AZ J:14:028","825","1000"
"NA 30452","600","1300"
"AZ J:14:027","625","850"
"AZ J:14:025","600","1250"
"AZ J:14:138","1300","1400"
"Paaqaba","600","1300"
"NA 30457","1050","1175"
"NA 30453","600","1250"
"NA 30454","1200","1300"
"AZ J:14:078","1100","1250"
"NA 30476","600","850"
"NA 30458","600","1175"
"AZ J:14:026","1250","1400"
"NA 30455","600","1100"
"NA 30460","1075","1175"
"NA 30459","550","950"
"AZ J:14:093","1100","1450"
"AZ J:14:101","1300","1450"
"AZ J:14:048","1050","1450"
"AZ J:14:252","1075","1225"
"AZ J:14:275","1100","1225"
"AZ J:14:243","1075","1300"
"AZ J:10:2","600","950"
"AZ J:14:020","1300","1450"
"AZ J:14:128","600","1400"
"AZ J:14:131","1300","1400"
"AZ J:14:133","700","1300"
"NA 8171","1125","1225"
"NA 14606","1375","1450"
"AZ J:14:143","1100","1400"
"AZ J:14:022","1300","1450"
"AZ J:14:145","1050","1425"
"AZ J:14:149","1100","1250"
"White Ruin","1000","1100"
"White Village","625","850"
"NA 30774","1775","1900"
"NA 30776","600","850"
"Gully Site","600","1100"
"NA 30657","1075","1175"
"Dawake Village","1200","1300"
"NA 30757","1000","1100"
"NA 30758","825","1000"
"NA 30654","1625","1900"
"Dawake Fort","1200","1300"
"NA 30812","1050","1250"
"NA 6706","1050","1225"
"NA 30517","1200","1300"
"NA 30519","600","950"
"NA 30518","625","850"
"NA 30642","600","850"
"NA 30752","825","1000"
"NA 30751","825","1000"
"NA 30520","600","850"
"NA 30742","550","1000"
"NA 30740","825","950"
"NA 30741","825","950"
"NA 30738","600","1300"
"Caio's Site","1000","1100"
"NA 30745","600","1175"
"NA 30554","1000","1100"
"Dead Cow Site","900","1175"
"NA 30523","1200","1300"
"NA 30521","1200","1300"
"NA 30525","625","1275"
"NA 30747","625","1100"
"NA 30543","1000","1200"
"NA 30644","1050","1175"
"NA 30771","625","1350"
"Seven Mile Ruin","600","1350"
"Coyote Springs","625","1000"
"NA 30537","1000","1450"
"NA 30728","550","950"
"NA 30735","600","850"
"NA 30645","550","1050"
"NA 30530","1050","1300"
"NA 30538","1000","1225"
"NA 30533","1200","1300"
"NA 30542","625","1100"
"NA 30733","550","950"
"Mungyaovi","1200","1300"
"NA 30721","625","850"
"NA 30734","1150","1225"
"NA 30539","1025","1100"
"NA 30726","625","875"
"NA 30724","550","950"
"NA 30646","1200","1300"
"NA 30722","625","875"
"NA 30720","550","1050"
"NA 30723","625","850"
"NA 30725","625","1100"
"NA 30731","1000","1625"
"NA 30648","1025","1100"
"NA 30719","1200","1300"
"NA 30717","625","1100"
"NA 30652","1075","1175"
"NA 30716","625","850"
"NA 11032","1200","1300"
"NA 30715","825","1100"
"NA 2421","1000","1300"
"NA 11250","1050","1250"
"Old Songoopavi I","1200","1450"
"Old Songoopavi II","1325","1450"
"NA 10738","1000","1100"
"NA 10741","1050","1200"
"Sun Forehead","1200","1300"
"PAO:83:31","1000","1100"
"PAO:83:32","1375","1450"
"Sikyatuupela","1000","1100"
"PAO:83:34","1000","1250"
"AZ J:11:13","1100","1250"
"NA 31084","600","825"
"NA 31063","1375","1450"
"NA 31083","600","1175"
"NA 31061","1775","1900"
"NA 31060","600","1175"
"NA 31057","600","1000"
"NA 31081","600","950"
"NA 31080","825","1000"
"NA 31054","1000","1175"
"NA 31056","600","1450"
"NA 31079","600","950"
"NA 31065","1375","1450"
"NA 31069","1200","1300"
"NA 31068","1200","1300"
"NA 31067","1200","1300"
"Two Pillars Site","1200","1300"
"AZ D:11:3","1050","1200"
"AZ D:11:18","600","1100"
"AZ D:11:20","1075","1175"
"AZ D:11:2","1050","1200"
"AZ D:11:22","1075","1175"
"Qootsaptuvela","1375","1450"
"AZ D:11:11","1050","1200"
"AZ D:11:15","550","1100"
"AZ J:11:24","1150","1250"
"HB-20","1075","1175"
"NA 30484","600","850"
"NA 30480","600","1000"
"NA 30481","1325","1375"
"NA 30483","600","1000"
"NA 30490","600","850"
"HB-9","1000","1100"
"AZ J:11:23","1000","1250"
"HB-12","1050","1150"
"HB-11","1000","1100"
"HB-10","1050","1250"
"HB-13","1075","1150"
"Kukotsomo II","1000","1200"
"AZ J:11:12","1100","1250"
"Kukotsomo I","550","1000"
"HB-8","1050","1150"
"HB-14","1050","1150"
"HB-15","1075","1175"
"AZ J:43:23","1025","1200"
"HB-18","1075","1175"
"HB-3","1050","1150"
"HB-1","1050","1250"
"HB-4","1000","1100"
"HB-2","1050","1150"
"HB-17","1050","1250"
"HB-5","1075","1175"
"HB-7","1050","1250"
"HB-6","1050","1150"
"AZ D:11:554","850","1100"
"HB-19","1075","1250"
"AZ J:43:19","1050","1200"
"AZ J:43:18","1000","1175"
"AZ D:11:335","1000","1100"
"AZ D:11:326","1000","1175"
"AZ D:11:325","550","1175"
"AZ D:11:336","550","1050"
"AZ D:11:334","550","1175"
"AZ J:43:17","700","950"
"AZ D:11:332","550","1175"
"AZ D:11:266","1000","1200"
"AZ D:11:279","1000","1175"
"AZ D:11:331","550","1175"
"AZ D:11:328","550","1175"
"AZ D:11:339","550","1100"
"AZ D:11:327","1000","1200"
"AZ D:11:329","550","1175"
"AZ J:43:13","1025","1225"
"AZ D:11:879","1000","1175"
"AZ D:11:1153","550","1000"
"AZ D:11:300","825","1300"
"AZ D:11:324","550","1200"
"AZ D:11:275","550","1175"
"AZ D:11:1170","550","1200"
"AZ D:11:814","550","1000"
"AZ J:11:9","1000","1150"
"AZ J:43:4","600","950"
"AZ D:11:352","600","1175"
"AZ D:11:298","550","1175"
"AZ J:11:8","1100","1250"
"AZ J:54:14","600","950"
"AZ J:54:13","850","1225"
"AZ J:54:12","625","950"
"AZ J:54:9","600","1000"
"AZ J:55:9","700","1175"
"Jeddito 168","1200","1450"
"Jeddito 181","1200","1300"
"Jeddito 122","1200","1450"
"AZ J:54:8","600","950"
"AZ J:54:7","625","950"
"AZ J:54:6","600","950"
"Little Awat'ovi","1200","1450"
"AZ J:54:4","600","950"
"AZ J:54:3","1050","1300"
"AZ J:54:2","825","1200"
"AZ J:11:7","1025","1150"
"Jeddito 108","1150","1275"
"AZ J:55:19","825","1200"
"Jeddito 280","1050","1175"
"Jeddito 172","1200","1375"
"AZ J:58:59","825","1000"
"Jeddito 171","1200","1450"
"Kawayka'a","1375","1625"
"NA 31085","550","1175"
"AZ J:58:6","1075","1300"
"AZ J:58:4","1050","1300"
"AZ J:58:9","1200","1300"
"NA 31086","1025","1175"
"Jeddito 264","600","950"
"Tsakpahu","1250","1450"
"AZ O:10:34","1375","1625"
"Sanovi","625","1100"
"AZ O:10:35","1050","1450"
"AZ O:10:33","1050","1150"
"AZ O:10:32","1050","1250"
"AZ O:10:38","1100","1625"
"AZ O:10:39","1075","1225"
"Mosiptanga","1200","1325"
"AZ O:10:37","1050","1175"
"AZ O:10:36","1000","1225"
"Kookopngyamuy","1250","1450"
"AZ J:12:15","1100","1250"
"Jeddito 372","1050","1200"
"AZ J:57:20","1150","1225"
"NA 13808","625","950"
"AZ J:12:1","1050","1250"
"AZ J:12:3","1100","1250"
"AZ J:12:14","850","925"
"AZ J:12:13","1100","1250"
"NA 13806","625","925"
"AZ J:12:11","1050","1150"
"AZ J:12:10","1100","1250"
"AZ J:12:21","1100","1250"
"AZ J:12:6","1100","1250"
"NA 13804","550","950"
"NA 13803","550","925"
"AZ J:12:2","1050","1150"
"NA 13805","600","950"
"AZ J:12:7","1100","1250"
"AZ J:12:19","550","1250"
"Woodruff Butte","550","950"
"DoBell Site","1100","1275"
"Twin Butte","550","950"
"Weathertop","550","925"
"NA 11904","600","950"
"AZ K:6:46","1050","1175"
"Turtleback Adobe","850","925"
"AZ K:6:43","1025","1150"
"AZ K:6:47","1000","1150"
"AZ K:6:42","1050","1150"
"Small Klagetoh","1250","1300"
"AZ K:6:41","1050","1150"
"WR-10","1000","1225"
"WR-29","1000","1150"
"WR-6","1000","1150"
"WR-8","1000","1150"
"WR-2","1000","1150"
"WR-7","1050","1150"
"WR-11","1000","1150"
"WR-1","1000","1150"
"WR-3","1000","1150"
"NA 11546b","1050","1175"
"NA 11546a","600","950"
"AZ  K:6:40","1050","1150"
"WR-5","900","1150"
"WR-9","1050","1150"
"WR-13","900","1150"
"WR-14","1000","1150"
"AZ K:6:48","875","1050"
"WR-15","1000","1100"
"Casa De Lost Folsom","1000","1150"
"Pueblo del Viento","1025","1200"
"Three-Corner House","850","1250"
"WR-16","1000","1150"
"NA 11545","700","850"
"WR-30","875","1150"
"WR-24","875","1300"
"WR-26","875","1300"
"WR-19","1000","1175"
"WR-18","1050","1150"
"WR-17","875","1150"
"WR-25","1250","1300"
"WR-23","1000","1150"
"NA 11542","625","950"
"AZ K:6:39","875","1150"
"NA 11543","625","925"
"WR-21","875","1150"
"WR-27","1050","1150"
"AZ K:7:18","600","825"
"AZ K:7:16","1050","1150"
"NA 14654","850","1050"
"AZ Q:3:73","550","925"
"AZ K:15:28","1000","1300"
"AZ K:15:24","1050","1150"
"AZ K:15:27","1025","1150"
"AZ K:15:26","1050","1150"
"AZ K:15:25","1050","1275"
"AZ K:15:16","925","1150"
"AZ K:15:17","875","1150"
"NA 408A","950","1200"
"NA 1238","925","1200"
"NA 1570","1000","1100"
"NA 1625","900","1100"
"NA 1680","950","1100"
"NA 2001","900","1200"
"NA 2004","1050","1175"
"AZ D:13:1","550","950"
"AZ D:9:2","625","850"
"Dot Klish Village","625","850"
"AZ I:3:1","950","1175"
"AZ D:9:1","1025","1175"
"Brown Star Site","1250","1300"
"Potential Site","1250","1300"
"Bright Angel Pueblo","1050","1225"
"Desha Creek","1050","1300"
"NA 7827","1100","1300"
"Cactus Rock Pueblo","1200","1300"
"NA 7549","1125","1300"
"NA 7548","1200","1300"
"Upper Desha Pueblo","1200","1300"
"Small Jar Pueblo","1075","1175"
"Jeddito 307","550","950"
"Jeddito 298","1025","1225"
"Jeddito 306","550","950"
"Jeddito 300","1050","1200"
"Jeddito 305","600","850"
"Jeddito 312","550","950"
"Jeddito 371","1000","1100"
"Jeddito 383","600","950"
"Jeddito 384","550","950"
"Jeddito 382","550","950"
"Jeddito 379","550","950"
"Jeddito 301","1200","1300"
"Jeddito 302","1050","1250"
"Jeddito 303","1000","1100"
"Jeddito 229","1075","1175"
"Jeddito 351","1025","1225"
"Jeddito 239","1075","1225"
"Jeddito 240","1075","1175"
"Jeddito 353","1150","1225"
"Jeddito 232","1075","1175"
"Jeddito 225","1075","1325"
"Jeddito 373","1000","1175"
"Jeddito 199","1075","1225"
"Jeddito 311","1025","1175"
"Jeddito 355","1025","1175"
"Jeddito 361","1075","1225"
"Jeddito 362","1150","1225"
"Jeddito 356","1075","1175"
"Jeddito 299","1150","1300"
"Jeddito 297","1075","1200"
"Jeddito 364","1150","1225"
"Jeddito 259","1000","1200"
"Jeddito 294","1000","1250"
"Jeddito 310","1025","1100"
"Jeddito 387","550","950"
"Jeddito 313","1150","1300"
"Jeddito 314","1050","1300"
"Jeddito 357","1075","1300"
"Jeddito 183","1200","1300"
"Jeddito 182","1200","1300"
"Jeddito 295","1025","1225"
"Jeddito 174","1200","1300"
"Jeddito 176","1200","1300"
"Jeddito 376","1000","1175"
"Jeddito 377","1150","1225"
"Jeddito 290","1025","1175"
"Jeddito 292","1200","1300"
"Jeddito 309","1250","1325"
"Jeddito 315","1150","1225"
"Jeddito 228","1250","1300"
"Jeddito 238","1000","1100"
"Jeddito 235","1025","1200"
"Jeddito 234","1150","1300"
"Jeddito 233","1000","1225"
"Jeddito 226","1200","1300"
"Jeddito 188","1150","1300"
"Jeddito 223","1200","1300"
"Jeddito 296","1325","1450"
"Jeddito 227","1325","1450"
"Jeddito 367","1250","1625"
"Jeddito 241","1200","1300"
"Kin Kahuna","1075","1300"
"Mouse House","1075","1175"
"Tres Campos","1075","1175"
"Ditch House","1150","1300"
"Jeddito 107","1150","1225"
"NA 31096","1000","1225"
"NA 31093","1000","1225"
"NA 31109","850","1100"
"NA 31110","550","950"
"NA 31111","550","950"
"NA 31330","1000","1100"
"NA 31105","1000","1100"
"AZ J:14:000","825","1400"
"AZ J:14:049","1100","1250"
"AZ J:14:074","825","1450"
"AZ J:14:054","600","1400"
"AZ J:19:13","1050","1250"
"AZ J:54:10","600","925"
"AZ J:55:2","1075","1300"
"AZ J:55:4","1100","1300"
"AZ J:58:7","1075","1200"
"WR-12","1000","1150"
"AZ P:37:46 PI component","600","925"
"AZ K:6:3","1075","1175"
"AZ K:6:4","1025","1175"
"AZ K:6:5","875","1300"
"AZ K:6:6","600","1225"
"AZ K:6:10","875","1175"
"AZ K:6:14","1025","1300"
"AZ K:6:15","1200","1300"
"AZ K:6:16","600","950"
"AZ K:6:19","1050","1250"
"AZ K:6:20","825","1000"
"AZ K:6:21","875","1200"
"AZ K:6:22","1050","1200"
"Jeddito 164","1250","1300"
"NA 8166","600","925"
"NA 9460","1050","1200"
"AZ D:7:2092","1050","1225"
"Coombs Site","1000","1175"
"NA 5159","900","1100"
"NA 5166","900","1100"
"Howard Mesa","900","1100"
"NA 5149","1000","1100"
"Wilson Pueblo","1100","1225"
"Winona Village","1000","1150"
"Elden Pithouse","900","1000"
"Coyote Range Pithouse","850","1050"
"NA 1121","900","1100"
"NA 3056","850","1050"
"Canyon Road House Ruin","1050","1250"
"AZ K:6:31","1050","1250"
"AZ D:7:135","550","925"
"AZ Q:2:176","1250","1400"
"AZ Q:2:177","1300","1400"
"AZ Q:2:172","1300","1450"
"AZ Q:2:165","550","950"
"AZ Q:2:164","1250","1450"
"AZ Q:2:167","1050","1250"
"AZ Q:2:171","1250","1400"
"AZ Q:2:173","1250","1400"
"AZ Q:2:163","1300","1400"
"AZ Q:2:174","1250","1400"
"AZ Q:2:175","1250","1400"
"AZ Q:1:525","1050","1200"
"AZ Q:1:521","1175","1300"
"AZ Q:1:523","1300","1400"
"AZ Q:1:518","1050","1200"
"AZ Q:1:536","1100","1450"
"AZ Q:1:534","1250","1400"
"AZ Q:1:538","1175","1300"
"AZ Q:1:539","1050","1150"
"AZ Q:1:540","1175","1300"
"AZ Q:1:541","1100","1300"
"AZ Q:1:537","550","1400"
"AZ Q:1:542","1250","1400"
"AZ Q:1:543","1250","1400"
"AZ Q:1:546","1050","1200"
"AZ Q:1:544","1050","1300"
"AZ Q:2:61","1200","1300"
"AZ Q:1:549","1100","1275"
"AZ Q:2:62","1200","1300"
"AZ Q:2:64","1050","1300"
"AZ Q:2:63","1250","1400"
"AZ Q:1:551","1275","1400"
"AZ Q:2:52","1275","1450"
"AZ Q:1:532","1250","1400"
"AZ Q:2:54","550","1300"
"AZ Q:2:56","550","1400"
"AZ Q:2:66","1275","1450"
"AZ Q:2:51","1250","1400"
"AZ Q:1:517","1250","1400"
"AZ Q:1:527","1175","1300"
"AZ Q:1:519","1050","1200"
"AZ Q:1:528","1175","1300"
"AZ Q:1:530","1200","1450"
"AZ Q:1:531","1050","1300"
"AZ Q:1:547","1050","1300"
"AZ Q:1:548","1175","1300"
"AZ Q:1:550","1100","1300"
"AZ Q:2:55","1200","1300"
"AZ Q:2:57","1250","1450"
"AZ Q:2:53","1275","1400"
"AZ Q:1:535","1250","1400"
"AZ Q:1:520","1200","1325"
"AZ Q:1:524","1250","1400"
"AZ Q:1:526","1100","1300"
"AZ Q:1:529","1300","1400"
"AZ Q:1:552","1250","1400"
"AZ Q:2:58","1250","1400"
"NA 9401","1100","1225"
"NA 9402","1100","1225"
"NA 9403","1100","1225"
"NA 9404","1100","1225"
"Cross Canyon Group","850","1050"
"NA 8011","875","1050"
"NA 8012","875","1275"
"NA 8015","850","1000"
"NA 9840b","1075","1225"
"NA 7447b","1125","1225"
"NA 7447a","1000","1200"
"NA 9840a","1075","1175"
"NA 9506","825","1175"
"NA 9507","600","1200"
"NA 9508","1025","1225"
"Medicine Fort","900","1100"
"NA 1123","900","1100"
"Grand Falls Pueblo","925","1250"
"NA 1293","825","1000"
"Jack Smith Alcove Houses","1050","1200"
"NA 1524","900","1175"
"NA 1554","1050","1175"
"NA 1600","1000","1100"
"NA 1633","825","1050"
"NA 1907","900","1050"
"NA 1914","900","1175"
"NA 1918","825","1000"
"NA 2098","1050","1200"
"NA 2133","1050","1150"
"NA 2134","1000","1150"
"NA 2135","1000","1100"
"NA 2551","900","1000"
"NA 2798","900","1000"
"NA 2800","825","1000"
"NA 3029A","875","1100"
"NA 3644","1000","1200"
"NA 3696","600","950"
"AZ K:6:37","1025","1150"
"AZ K:6:38","1050","1150"
"AZ K:10:34","700","1150"
"AZ K:10:35","550","950"
"AZ K:10:33","850","925"
"AZ K:10:36","1000","1150"
"AZ K:10:39","1000","1150"
"AZ K:10:41","850","925"
"AZ K:10:42","1050","1250"
"AZ K:10:40","550","950"
"AZ K:10:43","1050","1150"
"AZ K:10:45","1050","1150"
"AZ K:10:59","850","1000"
"AZ K:10:47","1050","1150"
"AZ K:10:48","875","1150"
"AZ K:10:61","1050","1300"
"AZ K:10:56","1075","1300"
"AZ K:10:51","1050","1150"
"AZ K:10:55","850","925"
"AZ K:10:54","550","950"
"AZ K:11:16","850","1100"
"AZ K:11:15","1100","1300"
"AZ K:11:17","850","1000"
"AZ K:11:6","1050","1150"
"AZ K:11:4","1050","1150"
"AZ K:11:19","1000","1150"
"AZ K:11:33","850","1150"
"AZ K:11:18","850","1050"
"AZ K:11:13","875","1150"
"AZ K:11:14","1050","1150"
"AZ K:11:9","1050","1150"
"AZ K:11:8","1050","1150"
"AZ K:11:11","600","950"
"AZ K:10:52","1000","1150"
"AZ K:10:57","825","1000"
"AZ K:11:32","875","1150"
"AZ K:11:43","1050","1150"
"AZ K:11:29","1050","1150"
"AZ K:11:30","875","1100"
"AZ K:11:31","1000","1150"
"AZ K:11:35","850","1000"
"AZ K:11:22","550","750"
"AZ K:11:23","875","1150"
"AZ K:11:21","700","1150"
"AZ K:11:37","1000","1150"
"NA 8164","600","925"
"NA 8173","600","1125"
"NA 9457","1150","1225"
"NA 9461","1075","1175"
"NA 9456","1050","1200"
"WACA 85A-134","1050","1200"
"WACA 85A-048","1050","1250"
"WACA 85A-056","1075","1175"
"WACA 85A-031","550","950"
"NA 6583","825","1000"
"NA 6586","1025","1150"
"NA 6639","850","1000"
"AZ J:01:27","1075","1225"
"NA 5749","625","850"
"AZ P:24:1","550","925"
"AZ P:42:18","1050","1150"
"AZ P:42:7","1025","1100"
"AZ P:42:9","1000","1100"
"AZ P:39:15","1000","1100"
"AZ P:39:17","1050","1200"
"AZ P:39:7","1000","1100"
"AZ P:42:2","1050","1100"
"NAU-78-3","1625","1900"
"NAU-78-111","600","950"
"NAU-78-121","600","950"
"NAU-78-123","625","850"
"NAU-78-119a","600","850"
"Hammer House","1000","1175"
"Hillside Hermitage","1075","1175"
"Windy Mesa","1075","1300"
"Naaki Hooghan","1075","1225"
"Hymn House","1150","1300"
"Sapo Seco","1200","1300"
"Modesty House","1200","1300"
"AZ J:35:31","1050","1200"
"Morris Little Site","600","1100"
"Sam Bia Site","850","925"
"Kin Ten Ten","1000","1150"
"Kanine Site","550","950"
"Black Ant Site","850","1100"
"Red Ant Site","550","950"
"NA 12574","1000","1150"
"AZ D:11:338","550","1050"
"AZ D:7:11 PH1","850","1050"
"Standing Fall House","600","1175"
"AZ D:7:216 St 1","600","1000"
"AZ D:7:234 St 2","850","1050"
"AZ D:11:425","1050","1200"
"AZ D:11:2068 St 4","600","950"
"AZ D:11:2027 St 2","600","950"
"AZ D:11:2023 St 1","600","1000"
"AZ D:11:2051 St 5","1150","1225"
"AZ D:7:134","550","1000"
"AZ D:7:136","600","1050"
"AZ D:11:1084","600","1100"
"AZ D:11:290","600","1175"
"AZ D:11:409","850","1175"
"AZ D:11:354","600","1100"
"AZ D:11:356","600","1175"
"AZ D:11:97","1000","1175"
"AZ D:11:73","550","1050"
"AZ D:11:1081","550","1100"
"AZ D:11:348","700","1175"
"NA 10756","1100","1250"
"NA 10755 PH 1","1100","1250"
"NA 11485","600","1150"
"NA 10757","1100","1250"
"Archer Site","600","1000"
"AZ E:6:23","550","1225"
"AZ E:6:24","1075","1175"
"AZ E:6:25","600","1300"
"AZ E:6:28","550","1300"
"AZ E:6:33","875","1300"
"AZ E:6:2","1050","1300"
"AZ E:6:3","1050","1175"
"AZ E:6:34","1100","1300"
"AZ E:6:35","550","1100"
"AZ E:6:36","825","1300"
"AZ E:6:6","600","1200"
"AZ E:6:29","600","1300"
"AZ E:6:26","1050","1175"
"AZ E:6:27","1000","1175"
"AZ E:6:5","825","1300"
"AZ E:6:31","550","1300"
"AZ E:6:32","625","1100"
"AZ E:2:1","750","1300"
"AZ E:2:2","875","1300"
"AZ E:6:21","875","1300"
"AZ E:6:20","1050","1300"
"AZ E:6:18","1075","1175"
"AZ E:6:8","875","1300"
"AZ E:6:14","825","1300"
"AZ E:6:11","1050","1300"
"AZ E:6:12","875","1300"
"AZ E:6:13","825","1200"
"AZ E:2:6","750","1300"
"AZ E:2:9","550","1100"
"AZ E:2:10","550","950"
"AZ E:2:7","825","1000"
"AZ E:2:11","1050","1300"
"AZ E:2:3","1050","1300"
"AZ E:2:12","825","1000"
"AZ E:2:4","1050","1325"
"AZ E:6:9","825","1300"
"AZ E:2:8","750","1300"
"AZ E:6:4","1075","1300"
"AZ K:8:2","1025","1300"
"Jeddito 177","1200","1300"
"Jeddito 179","1450","1625"
"Jeddito 354","1150","1225"
"Jeddito 352","1050","1200"
"NA 5151","900","1100"
"NA 5155","900","1250"
"NA 5150","900","1100"
"NA 5142","900","1100"
"NA 5167","1000","1200"
"AZ P:37:46 PII component","1050","1150"
"AZ D:11:113 PH1","600","950"
"AZ D:11:19","1075","1175"
"AZ D:11:330","550","1175"
"AZ E:6:10","1050","1300"
"AZ E:6:15","1050","1300"
"AZ E:6:16","875","1300"
"AZ E:6:17","875","1300"
"AZ E:6:19","1050","1300"
"AZ E:6:22","1075","1175"
"AZ E:6:7","1050","1300"
"AZ I:1:17","950","1175"
"AZ J:12:18","1075","1175"
"AZ J:12:9","550","950"
"AZ J:43:15","1050","1200"
"AZ K:11:24","600","950"
"AZ K:25:23","1075","1250"
"AZ Q:2:65","1100","1400"
"Green Bear Site","600","925"
"Jeddito 111","1050","1225"
"NA 1237B","900","1100"
"NA 1507E","1000","1100"
"NA 31106","1075","1225"
"Water Jar Pueblo","1200","1300"
"NA 9409","1050","1225"
"NA 9313","1050","1250"
"NA 9311","1100","1225"
"NA 9310","1100","1250"
"NA 9309","1050","1150"
"NA 9312","1050","1225"
"NA 9335","1100","1250"
"NA 9338","1100","1225"
"NA 9408","1100","1250"
"NA 9332","1100","1225"
"NA 9331","875","1250"
"NA 9330","1050","1150"
"NA 9407","1100","1225"
"NA 9333","1075","1250"
"NA 9334","1025","1150"
"NA 9327","1100","1250"
"NA 9328","1100","1250"
"NA 9329","1075","1225"
"NA 9318","1150","1225"
"NA 9317","1100","1250"
"NA 9316","1100","1250"
"NA 9345","1050","1150"
"NA 9227","1075","1250"
