earlydate,latedate,sitecode,region,sitename,no.glyph,no.objects,rankorder,eGreg,lGreg,eGreg Year,eGreg Month,eGreg Day,lGregYear,IGregMonth,IGregDay,YearSpan
09.02.00.00.00,09.18.05.00.00,RBC,central,Rio Bec,32,4,3,0475-05-13,0795-09-13,475,5,13,795,9,13,320
08.00.00.00.00,10.00.00.00.00,POL,central,Polol,89,10,3,0041-09-05,0830-03-13,41,9,5,830,3,13,789
09.02.00.00.00,09.19.10.00.00,NAR,eastern,Naranjo,2158,44,1,0475-05-13,0820-05-04,475,5,13,820,5,4,345
08.18.04.04.14,10.02.15.00.00,CRC,eastern,Caracol,1514,68,1,0400-07-03,0884-05-28,400,7,3,884,5,28,484
09.07.00.00.00,09.07.10.00.00,PBX,eastern,Pol Box,131,2,2,0573-12-05,0583-10-14,573,12,5,583,10,14,10
09.18.10.00.00,09.19.00.02.09,MAN,eastern,El Manantial / Ch'anal,110,3,2,0800-08-17,0810-07-07,800,8,17,810,7,7,10
09.17.09.06.14,09.18.10.00.00,IXK,eastern,Ixkun,172,5,2,0779-12-26,0800-08-17,779,12,26,800,8,17,21
09.10.07.05.01,09.12.00.00.00,REJ,eastern,La Rejolla,103,2,2,0639-12-26,0672-06-29,639,12,26,672,6,29,33
09.16.10.00.00,09.18.10.00.00,SCU,eastern,Sacul,185,6,2,0761-03-15,0800-08-17,761,3,15,800,8,17,39
08.17.02.04.16,08.19.06.08.05,SUF,eastern,La Sufricaya,103,3,2,0378-10-29,0422-03-05,378,10,29,422,3,5,44
09.04.00.00.00,09.07.00.00.00,DZB,eastern,Dzibanche,105,3,2,0514-10-16,0573-12-05,514,10,16,573,12,5,59
09.13.00.00.00,09.17.00.00.08,NTN,eastern,Naj Tunich,321,16,2,0692-03-16,0771-01-30,692,3,16,771,1,30,79
09.14.15.00.00,10.00.00.00.00,NMP,eastern,Nim Li Punit,175,7,2,0726-09-15,0830-03-13,726,9,15,830,3,13,104
09.07.00.00.00,09.18.07.10.03?,PUS,eastern,Pusilha,494,13,2,0573-12-05,0797-09-15,573,12,5,797,9,15,224
09.06.00.00.00,10.02.15.00.00?,PLM,eastern,El Palmar,229,8,2,0554-03-20,0884-05-28,554,3,20,884,5,28,330
08.17.16.12.02,09.18.00.00.00,RAZ,eastern,Rio Azul,152,15,2,0392-08-10,0790-10-09,392,8,10,790,10,9,398
09.??.10.00.00,10.03.00.00.00,XUL,eastern,Xultun,395,22,2,0445-10-17,0889-05-02,445,10,17,889,5,2,444
09.18.05.16.14,09.18.07.00.00,YXH,eastern,Yaxha,32,2,3,0795-10-13,0797-09-02,795,10,13,797,9,2,2
09.14.00.00.00,09.14.04.06.09,TPN,eastern,Tipan Chen Uitz,16,3,3,0711-12-03,0715-11-27,711,12,3,715,11,27,4
09.17.11.00.00,09.18.00.00.00,LBT,eastern,Lubaantun,34,4,3,0781-11-25,0790-10-09,781,11,25,790,10,9,9
09.17.10.00.00,09.18.00.00.00,IXZ,eastern,Ixtutz,44,2,3,0780-11-30,0790-10-09,780,11,30,790,10,9,10
09.18.00.00.00,09.18.10.00.00,ALR,eastern,Altar de los Reyes,28,2,3,0790-10-09,0800-08-17,790,10,9,800,8,17,10
09.08.10.00.00,09.09.00.00.00,CHP,eastern,Champerico,66,4,3,0603-07-02,0613-05-10,603,7,2,613,5,10,10
09.06.07.03.18,09.07.09.00.07?,ALC,eastern,Los Alacranes,50,2,3,0561-03-04,0582-10-26,561,3,4,582,10,26,21
09.19.00.00.00,10.00.05.00.00,MCW,eastern,Mountain Cow,32,2,3,0810-06-26,0835-02-15,810,6,26,835,2,15,25
09.19.00.00.00,10.01.00.00.00,XUN,eastern,Xunantunich,52,5,3,0810-06-26,0849-11-28,810,6,26,849,11,28,39
09.17.00.00.00,10.01.00.00.00,NKM,eastern,Nakum,19,3,3,0771-01-22,0849-11-28,771,1,22,849,11,28,78
07.08.00.00.00,07.13.00.00.00,SBO,eastern,San Bartolo,38,2,3,BC195-2-15,BC97-9-10,-195,2,15,-97,9,10,98
09.11.00.00.00,09.19.15.00.00,IXT,eastern,Ixtonton,7,2,3,0652-10-12,0825-04-08,652,10,12,825,4,8,173
08.17.00.00.00,09.16.00.00.00,UXB,eastern,Uxbenka,73,7,3,0376-10-19,0751-05-07,376,10,19,751,5,7,375
09.09.10.00.00,09.17.10.00.00,COB,northern,Coba,997,8,1,0623-03-19,0780-11-30,623,3,19,780,11,30,157
10.00.02.07.13,10.09.00.00.00,CHN,northern,Chichen Itza,1241,39,1,0832-03-22,1007-08-13,832,3,22,1007,8,13,175
09.14.17.00.00,09.16.02.00.00,XLM,northern,Xcalumkin,238,33,2,0728-09-04,0753-04-26,728,9,4,753,4,26,25
09.16.19.06.01,10.00.14.13.19?,EKB,northern,Ek Balam,397,18,2,0770-02-03,0844-01-31,770,2,3,844,1,31,74
09.19.00.00.00,10.08.00.00.00,UXM,northern,Uxmal,380,19,2,0810-06-26,0987-11-25,810,6,26,987,11,25,177
09.15.00.00.00,10.04.01.00.00,ITB,northern,Itzimte Bolonchen,111,8,2,0731-08-20,0910-01-13,731,8,20,910,1,13,179
09.10.00.00.00,10.05.00.00.00,EDZ,northern,Edzna,344,17,2,0633-01-25,0928-10-05,633,1,25,928,10,5,295
09.02.00.00.00,10.05.00.00.00,OXK,northern,Oxkintok,189,16,2,0475-05-13,0928-10-05,475,5,13,928,10,5,453
09.16.13.00.00,09.17.00.00.00,DBN,northern,Dzibilnocac,29,4,3,0764-02-28,0771-01-22,764,2,28,771,1,22,7
08.18.10.00.00,08.19.00.00.00,BLK,northern,Balakbal,68,2,3,0406-05-15,0416-03-23,406,5,15,416,3,23,10
